City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,kruisfontein,-34.0033,24.7314,7.16,77,2,3.3,ZA,1689050327
151,torit,4.4133,32.5678,21.72,86,92,1.35,SS,1689050576
152,whitehorse,60.7161,-135.0538,23.34,27,40,6.71,CA,1689050104
153,acapulco de juarez,16.8634,-99.8901,28.9,74,40,2.06,MX,1689050190
154,tazovsky,67.4667,78.7,11.2,52,7,5.98,RU,1689050337
155,uturoa,-16.7333,-151.4333,26.53,73,7,9.28,PF,1689050340
156,st. john's,47.5649,-52.7093,12.1,98,100,3.09,CA,1689050269
157,saurimo,-9.6608,20.3916,14.82,29,9,5.37,AO,1689050577
158,igarka,67.4667,86.5833,14.06,44,28,6.58,RU,1689050341
159,port saint john's,-31.6229,29.5448,12.39,70,73,5.04,ZA,1689050577
160,lospalos,-8.5186,127.0025,22.67,92,100,4.22,TL,1689050361
161,baruun-urt,46.6806,113.2792,22.76,60,99,1.89,MN,1689050577
162,mili,6.0815,171.735,28.51,72,66,2.38,MH,1689050340
163,kayangel,8.0823,134.7173,29.09,76,98,5.81,PW,1689050577
164,dadukou,26.5479,101.7054,28.69,62,100,1.04,CN,1689050577
165,santo antonio,-6.3106,-35.4789,20.24,93,1,3.25,BR,1689050577
166,lodeynoye pole,60.726,33.5531,13.61,58,8,2.23,RU,1689050577
167,vorkuta,67.5,64.0,12.17,52,2,5.01,RU,1689050577
168,sao benedito do rio preto,-3.3336,-43.5283,22.4,98,37,1.17,BR,1689050578
169,likiep,9.8251,169.3107,28.43,76,74,5.27,MH,1689050578
170,shingu,33.7333,135.9833,31.56,56,1,5.63,JP,1689050346
171,umm kaddadah,13.6017,26.6876,26.54,62,98,3.58,SD,1689050578
172,batticaloa,7.7102,81.6924,28.92,63,100,1.64,LK,1689050578
173,mahajanga,-15.7167,46.3167,20.01,100,20,1.03,MG,1689050578
174,kota kinabalu,5.9749,116.0724,32.99,70,20,1.54,MY,1689050578
175,kidal,18.4411,1.4078,30.77,15,76,3.91,ML,1689050578
176,khash,28.2211,61.2158,30.98,31,1,1.26,IR,1689050365
177,san andres,12.5847,-81.7006,29.01,84,20,5.14,CO,1689050578
178,harstad,68.799,16.5293,20.13,63,74,1.35,NO,1689050578
179,carauari,-4.8828,-66.8958,22.87,88,19,1.03,BR,1689050578
180,vilhena,-12.7406,-60.1458,19.66,55,0,1.04,BR,1689050579
181,lihue,21.9789,-159.3672,27.58,71,20,7.2,US,1689050328
182,ust-nera,64.5667,143.2,20.14,32,89,1.78,RU,1689050326
183,ilulissat,69.2167,-51.1,8.01,93,100,0.0,GL,1689050326
184,inarajan village,13.2736,144.7484,28.54,90,99,4.43,GU,1689050579
185,tonsberg,59.2675,10.4076,17.37,98,75,2.57,NO,1689050579
186,elko,41.0002,-115.5012,23.01,22,0,5.81,US,1689050579
187,bikenibeu village,1.3673,173.1241,30.98,70,20,2.06,KI,1689050347
188,saint-valery-en-caux,49.8667,0.7333,14.31,83,11,5.56,FR,1689050579
189,poyarkovo,49.6,128.6833,29.89,33,0,2.73,RU,1689050579
190,new norfolk,-42.7826,147.0587,14.84,73,100,2.85,AU,1689050387
191,jeddah,21.5169,39.2192,29.92,74,0,2.57,SA,1689050580
192,borogontsy,62.6683,131.1683,29.29,30,47,3.45,RU,1689050326
193,constantia,44.1833,28.65,22.61,47,37,2.38,RO,1689050349
194,aranyaprathet,13.6928,102.5013,34.34,48,63,3.82,TH,1689050580
195,lazaro cardenas,17.9583,-102.2,26.93,83,91,0.97,MX,1689050193
196,ifakara,-8.1333,36.6833,21.55,74,25,0.66,TZ,1689050580
197,gadzhiyevo,69.2551,33.3362,15.26,63,91,3.58,RU,1689050366
198,buka,40.8108,69.1986,36.31,12,0,1.64,UZ,1689050328
199,al kharijah,25.4514,30.5464,27.34,44,2,4.91,EG,1689050580
200,college,64.8569,-147.8028,22.99,43,75,2.57,US,1689050333
201,hadibu,12.65,54.0333,25.8,81,100,11.63,YE,1689050366
202,dongola,19.1667,30.4833,30.65,15,64,5.01,SD,1689050580
203,polaniec,50.4332,21.2812,19.55,88,100,6.14,PL,1689050581
204,benghazi,32.1167,20.0667,25.33,72,0,7.67,LY,1689050342
205,tingo maria,-9.2895,-76.0088,19.85,98,52,1.04,PE,1689050581
206,ghanzi,-21.5667,21.7833,0.16,42,0,3.74,BW,1689050581
207,mount pearl,47.5166,-52.7813,11.64,97,100,3.09,CA,1689050358
208,beaufort west,-32.3567,22.583,3.7,73,1,0.76,ZA,1689050581
209,souillac,-20.5167,57.5167,18.21,94,20,3.09,MU,1689050581
210,vernon,50.2581,-119.2691,20.06,55,100,1.54,CA,1689050187
211,coos bay,43.3665,-124.2179,15.55,88,40,4.63,US,1689050349
212,colonia,50.9333,6.95,20.53,74,0,1.54,DE,1689050341
213,trabia,38.0065,13.6336,27.64,55,0,1.24,IT,1689050581
214,sungailiat,-1.85,106.1333,26.38,86,100,4.98,ID,1689050581
215,bytow,54.1706,17.4919,15.67,94,77,2.71,PL,1689050451
216,badger,64.8,-147.5333,22.95,48,75,2.57,US,1689050344
217,tinghir,31.5157,-5.5343,25.5,14,3,1.29,MA,1689050582
218,yellowknife,62.456,-114.3525,18.29,42,75,3.09,CA,1689050142
219,myskhako,44.6714,37.7433,22.68,56,11,5.65,RU,1689050582
220,gaspe,48.8334,-64.4819,17.12,100,100,4.12,CA,1689050402
221,arkalyk,50.2486,66.9114,32.86,23,0,4.54,KZ,1689050478
222,bamboo flat,11.7,92.7167,29.05,79,75,4.63,IN,1689050387
223,katsuura,35.1333,140.3,28.88,72,2,7.87,JP,1689050366
224,vorgashor,67.5833,63.95,11.71,53,2,5.26,RU,1689050363
225,morondava,-20.2833,44.2833,20.23,69,0,2.51,MG,1689050582
226,usinsk,65.9939,57.5281,13.46,48,2,4.37,RU,1689050352
227,talnakh,69.4865,88.3972,11.51,48,26,4.54,RU,1689050341
228,prince rupert,54.3161,-130.3201,12.05,87,100,3.6,CA,1689050359
229,kavieng,-2.5744,150.7967,29.24,69,53,4.44,PG,1689050375
230,yanykurgan,43.915,67.2481,36.98,11,0,8.17,KZ,1689050352
231,zouerate,22.7187,-12.4521,31.48,23,35,2.82,MR,1689050583
232,nguigmi,14.2495,13.1092,29.22,55,84,4.5,NE,1689050583
233,mil'kovo,55.6078,37.7956,14.08,73,100,5.91,RU,1689050583
234,holualoa,19.6228,-155.9522,25.91,76,100,2.06,US,1689050453
235,dilling,12.05,29.65,24.69,71,95,2.19,SD,1689050584
236,lompoc,34.6391,-120.4579,17.1,95,100,3.09,US,1689050336
237,magistral'nyy,56.1725,107.4458,23.15,71,72,1.01,RU,1689050584
238,pingliang,35.5392,106.6861,29.16,54,100,2.3,CN,1689050584
239,zyryanskoye,56.8306,86.6258,25.1,61,92,6.45,RU,1689050584
240,ginir,7.1333,40.7,17.05,71,71,0.47,ET,1689050585
241,lagoa,39.05,-27.9833,20.88,91,100,4.38,PT,1689050585
242,afaahiti,-17.75,-149.2833,26.7,78,50,8.79,PF,1689050353
243,ghat,24.9647,10.1728,27.88,23,0,1.92,LY,1689050375
244,persembe,41.0656,37.7714,18.68,72,4,3.7,TR,1689050585
245,tevriz,57.509,72.4042,26.18,67,95,3.02,RU,1689050585
246,crane,31.3974,-102.3501,31.87,37,47,3.97,US,1689050340
247,howrah,22.5892,88.3103,32.0,79,75,4.63,IN,1689050586
248,gaalkacyo,6.7697,47.4308,26.91,61,56,10.55,SO,1689050586
249,royal wootton bassett,51.5419,-1.9045,14.96,92,75,4.12,GB,1689050586
250,belyy yar,53.6039,91.3903,23.94,53,40,2.0,RU,1689050586
251,road town,18.4167,-64.6167,29.05,78,100,9.86,VG,1689050586
252,owasso,36.2695,-95.8547,27.02,74,0,3.09,US,1689050586
253,ta`u,-14.2336,-169.5144,27.43,80,78,7.98,AS,1689050350
254,woodward,36.4337,-99.3904,24.98,87,0,5.14,US,1689050587
255,dunedin,-45.8742,170.5036,9.89,60,41,0.45,NZ,1689050350
256,inhambane,-23.865,35.3833,16.99,94,75,7.2,MZ,1689050587
257,general acha,-37.377,-64.6043,6.6,65,99,4.51,AR,1689050587
258,shirvan,39.9509,48.8994,28.97,55,8,6.51,AZ,1689050587
259,tralee,52.2704,-9.7026,12.25,95,60,1.08,IE,1689050587
260,hastings,50.8552,0.5729,19.43,35,82,7.68,GB,1689050587
261,tambura,5.6,27.4667,21.16,85,85,1.19,SS,1689050587
262,colares,38.7992,-9.4469,19.86,82,2,11.62,PT,1689050588
263,helena valley west central,46.6629,-112.0604,18.49,86,0,0.0,US,1689050588
264,oltinko'l,40.8011,72.1634,36.43,11,0,2.04,UZ,1689050588
265,shillong,25.5689,91.8831,21.02,88,100,0.0,IN,1689050588
266,beloyarskiy,63.7119,66.6722,17.05,50,100,1.48,RU,1689050300
267,medicine hat,50.0501,-110.6683,23.24,58,100,8.75,CA,1689050588
268,chandbali,20.7833,86.7667,29.29,74,100,4.09,IN,1689050588
269,longyearbyen,78.2186,15.6401,8.91,57,75,4.12,SJ,1689050337
270,i-n-salah,27.1935,2.4607,34.3,14,10,6.46,DZ,1689050588
271,corfu,39.62,19.9197,24.34,78,0,0.0,GR,1689050589
272,kasongo-lunda,-6.4667,16.8167,18.45,47,1,1.22,CD,1689050589
273,timaru,-44.4,171.25,9.48,82,50,2.58,NZ,1689050589
274,geraldton,-28.7667,114.6,19.23,63,0,1.54,AU,1689050330
275,kolokani,13.5728,-8.0339,24.31,73,100,3.28,ML,1689050330
276,mussoorie,30.45,78.0833,14.54,86,100,1.37,IN,1689050589
277,bandon,51.7469,-8.7425,12.77,95,7,1.25,IE,1689050589
278,san luis de la loma,17.2706,-100.8939,26.96,85,99,1.98,MX,1689050375
279,pustoshka,56.3355,29.369,13.69,59,4,1.68,RU,1689050589
280,la'ie,21.6477,-157.9253,27.98,75,49,2.68,US,1689050326
281,sete lagoas,-19.4658,-44.2467,18.49,65,22,1.93,BR,1689050590
282,minab,27.1467,57.0801,33.83,55,6,3.46,IR,1689050590
283,mwanza,-2.5167,32.9,21.15,51,87,3.91,TZ,1689050590
284,businga,3.3333,20.8833,20.72,99,95,0.2,CD,1689050590
285,urzhar,47.093,81.6294,27.78,23,0,4.41,KZ,1689050590
286,port blair,11.6667,92.75,29.02,79,75,4.63,IN,1689050522
287,carutapera,-1.195,-46.02,24.22,89,10,2.75,BR,1689050384
288,sinabang,2.4803,96.3801,24.73,90,100,2.19,ID,1689050591
289,klyuchi,52.2667,79.1667,30.41,39,22,2.14,RU,1689050336
290,vila franca do campo,37.7167,-25.4333,21.23,93,100,4.03,PT,1689050591
291,litayan,7.3358,124.0347,28.31,77,54,4.23,PH,1689050591
292,rochefort,45.9167,-1.0,17.7,75,0,1.34,FR,1689050592
293,waddan,29.1614,16.139,22.92,66,0,2.02,LY,1689050592
294,van,38.4924,43.3831,17.64,63,40,0.51,TR,1689050592
295,fort st. john,56.2499,-120.8529,20.94,68,100,1.03,CA,1689050328
296,fale old settlement,-9.3852,-171.2468,28.74,77,98,7.28,TK,1689050335
297,miyako,39.6367,141.9525,28.89,59,60,3.59,JP,1689050592
298,stephenville,32.2207,-98.2023,29.44,60,40,1.54,US,1689050593
299,vila velha,-20.3297,-40.2925,19.97,95,0,1.54,BR,1689050362
300,luau,-10.7073,22.2247,12.75,32,1,4.12,AO,1689050374
301,hawaiian paradise park,19.5933,-154.9731,25.73,85,75,3.09,US,1689050331
302,cruzeiro do sul,-29.5128,-51.9853,16.4,83,100,1.99,BR,1689050594
303,chui,-33.6971,-53.4616,8.87,82,4,2.91,UY,1689050594
304,richards bay,-28.783,32.0377,15.46,74,95,7.59,ZA,1689050165
305,la passe,45.5549,-0.8967,20.13,76,0,2.77,FR,1689050339
306,brisas de zicatela,15.8369,-97.0419,30.29,62,40,4.12,MX,1689050346
307,truckee,39.328,-120.1833,24.18,50,0,1.54,US,1689050596
308,anadyr,64.75,177.4833,18.28,42,0,8.0,RU,1689050326
309,gizo,-8.103,156.8419,28.14,76,76,7.5,SB,1689050365
310,dryden,49.7833,-92.7503,10.16,87,100,4.12,CA,1689050596
311,grande prairie,55.1667,-118.8027,17.1,88,100,4.63,CA,1689050552
312,uglegorsk,49.0833,142.0333,16.99,87,100,1.54,RU,1689050596
313,progreso,21.2833,-89.6667,29.5,81,5,4.24,MX,1689050596
314,vanimo,-2.6741,141.3028,25.24,92,100,1.99,PG,1689050389
315,guli,28.8833,120.0333,37.22,44,4,2.36,CN,1689050597
316,smithers,54.7804,-127.1743,22.18,49,40,6.17,CA,1689050523
317,zuni pueblo,35.0725,-108.8506,26.35,38,26,1.28,US,1689050597
